school,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q21,Q22,Q23,Q24,Q25,Q26,StuLevel
Purdue,2,3,3,1,3,2,4,4,1,4,1,1,3,1,1,4,3
Purdue,3,4,4,3,3,4,4,5,5,4,2,2,4,3,3,4,4
Purdue,4,4,2,1,3,5,5,4,4,4,3,2,1,2,1,3,3
Purdue,2,2,2,2,4,3,4,3,3,4,2,1,1,3,4,5,3
Purdue,3,2,2,3,2,4,3,3,5,4,2,1,1,1,2,2,3
Purdue,4,2,3,3,3,3,3,3,3,3,1,4,3,3,4,4,4
Purdue,4,5,4,3,3,5,4,4,5,5,2,2,3,1,3,4,
Purdue,,,,,,,,,,,,,,,,,
Purdue,2,3,3,2,3,3,4,5,4,5,1,2,3,2,2,3,4
Purdue,3,3,2,2,2,4,5,4,5,4,4,2,2,1,1,3,4
Purdue,2,3,2,2,3,3,2,3,4,4,1,1,2,2,3,4,4
Purdue,4,2,2,2,2,4,4,4,4,4,1,2,2,1,2,1,4
Purdue,3,2,1,2,3,2,4,4,3,4,4,2,3,2,4,4,4
Purdue,2,3,3,1,3,4,5,5,4,5,3,1,2,2,1,3,3
Purdue,3,3,1,1,4,5,5,4,5,5,3,4,2,1,3,4,3
Purdue,5,4,3,3,4,4,5,4,3,4,3,5,4,4,3,4,4
Purdue,2,3,2,4,2,2,4,4,4,4,1,1,1,2,2,1,4
Purdue,2,2,2,3,3,4,4,2,5,4,2,2,1,2,3,3,3
Purdue,2,2,2,3,3,2,2,2,2,2,1,1,1,1,1,2,3
Purdue,3,2,2,2,3,3,2,2,3,3,2,2,2,3,2,3,4
Purdue,1,1,1,1,1,3,2,2,5,5,1,1,1,1,1,1,3
Purdue,3,3,4,3,3,4,4,5,5,4,3,3,4,4,3,3,4
Purdue,4,3,4,4,3,5,5,5,5,5,4,4,3,2,4,4,4
Purdue,2,2,2,2,2,4,5,5,5,5,2,2,2,2,2,2,3
Purdue,5,3,1,2,5,5,5,3,5,4,2,3,1,2,1,1,4
Purdue,2,3,4,2,4,5,5,5,5,5,3,4,2,4,3,4,2
Purdue,3,2,2,4,3,2,2,2,2,2,1,3,2,1,4,4,4
Purdue,3,3,3,3,3,2,2,4,4,4,2,2,1,1,2,2,4
Purdue,3,3,3,3,3,4,3,3,4,3,2,2,2,2,2,2,4
Purdue,4,3,3,5,3,5,4,4,5,5,2,5,4,4,4,4,4
Purdue,4,3,2,3,4,5,3,3,3,5,1,2,3,1,1,4,4
Purdue,5,2,2,4,5,5,2,2,4,5,2,5,2,1,5,5,4
Purdue,2,2,2,4,2,3,2,3,4,3,2,2,2,3,4,3,2
Purdue,2,2,2,4,2,3,2,3,4,3,2,2,2,3,4,3,2
Purdue,2,2,2,4,2,3,2,3,4,3,2,2,2,3,4,3,2
Purdue,3,2,3,2,3,4,4,4,4,4,3,4,3,3,3,4,4
Purdue,4,4,3,5,4,4,5,3,2,5,5,4,2,3,3,4,4
Purdue,3,5,5,5,4,4,5,5,5,4,3,3,3,3,3,4,4
Purdue,3,3,2,3,4,4,5,5,4,4,2,3,3,3,2,4,4
Purdue,5,3,1,3,5,4,4,4,5,5,4,3,2,4,4,5,3
Purdue,5,3,4,4,3,2,4,4,2,2,4,4,2,2,2,2,4
Purdue,4,2,3,3,3,4,4,5,5,5,1,2,1,1,4,2,3
Purdue,4,4,4,4,4,5,5,5,5,5,3,3,3,4,3,4,4
Purdue,,,,,,,,,,,,,,,,,
Purdue,,,,,,,,,,,,,,,,,
Purdue,,,,,,,,,,,,,,,,,
Purdue,,,,,,,,,,,,,,,,,
Purdue,2,2,1,3,2,2,3,2,4,3,,,,,,,
Purdue,,,,,,,,,,,,,,,,,
Purdue,,,,,,,,,,,,,,,,,
Purdue,,,,,,,,,,,,,,,,,
Purdue,,,,,,,,,,,,,,,,,
Purdue,,,,,,,,,,,,,,,,,
Purdue,,,,,,,,,,,,,,,,,
Purdue,4,3,4,4,4,4,5,5,5,5,4,1,2,4,4,4,3
Purdue,,,,,,,,,,,,,,,,,
Purdue,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,4
Purdue,3,4,4,4,5,5,4,4,4,5,1,2,2,1,2,5,4
Purdue,,,,,,,,,,,,,,,,,
Purdue,4,2,3,4,5,3,3,3,2,4,4,1,1,2,3,2,3
Purdue,5,5,5,5,5,5,5,5,5,4,5,5,4,2,3,4,4
Purdue,3,2,2,2,2,4,4,3,3,3,3,2,1,3,1,4,3
Purdue,3,3,1,1,2,2,4,3,1,2,2,2,2,1,2,2,3
Purdue,1,2,2,1,2,2,3,3,3,3,1,1,1,2,1,2,3
Purdue,2,1,1,2,3,2,2,2,2,4,1,1,1,1,1,2,3
Purdue,3,3,3,3,3,2,2,4,4,4,1,2,2,1,2,4,3
Purdue,4,3,4,5,4,2,2,1,2,3,4,2,2,2,5,5,4
Purdue,2,1,1,2,2,3,3,4,4,3,2,2,2,2,2,2,4
Purdue,3,3,2,2,3,5,4,4,5,5,2,4,3,3,3,4,3
Purdue,3,3,3,2,4,4,4,5,5,5,2,2,2,2,2,4,2
Purdue,3,3,2,1,1,4,4,4,4,4,3,4,4,2,1,3,3
Purdue,1,1,1,2,2,1,3,2,4,3,1,1,1,1,1,2,4
Purdue,3,1,2,3,2,1,1,1,1,1,3,1,3,3,3,3,4
Purdue,1,2,4,4,2,4,4,4,4,3,1,1,2,1,2,3,3
Purdue,,,,,,,,,,,,,,,,,
Purdue,4,2,4,2,4,4,4,4,4,4,,,,,,,
Purdue,,,,,,,,,,,,,,,,,
Purdue,,,,,,,,,,,,,,,,,
Purdue,,,,,,,,,,,,,,,,,
Purdue,,,,,,,,,,,,,,,,,
Purdue,,,,,,,,,,,,,,,,,
Purdue,,,,,,,,,,,,,,,,,
